date,open,close,high,low,volume
2009-03-17,4.02,4.1,4.12,4.0,334364.61
2009-03-18,4.1,4.14,4.22,4.09,536444.89
2009-03-19,4.14,4.2,4.2,4.06,527129.26
2009-03-20,4.21,4.24,4.3,4.16,676365.84
2009-03-23,4.27,4.28,4.39,4.25,729377.87
2009-03-24,4.33,4.28,4.36,4.23,566383.66
2009-03-25,4.26,4.12,4.26,4.11,404951.6
2009-03-26,4.13,4.24,4.25,4.13,318627.62
2009-03-27,4.29,4.37,4.46,4.2,1058034.02
2009-03-30,4.36,4.26,4.36,4.23,636827.91
2009-03-31,4.19,4.37,4.41,4.09,577880.4
2009-04-01,4.35,4.38,4.41,4.3,937569.21
2009-04-02,4.4,4.41,4.48,4.37,938019.56
2009-04-03,4.43,4.31,4.46,4.27,661273.44
2009-04-07,4.32,4.28,4.34,4.22,373886.17
2009-04-08,4.26,4.19,4.3,4.18,501220.94
2009-04-09,4.15,4.22,4.23,4.14,327800.06
2009-04-10,4.24,4.26,4.27,4.18,413473.13
2009-04-13,4.26,4.39,4.45,4.24,840788.36
2009-04-14,4.36,4.36,4.42,4.33,504096.02
2009-04-15,4.35,4.54,4.59,4.32,1163904.75
2009-04-16,4.5,4.67,4.83,4.46,1446171.35
2009-04-17,4.62,4.44,4.64,4.41,709123.39
2009-04-20,4.43,4.51,4.52,4.38,531855.43
2009-04-21,4.45,4.47,4.53,4.4,504795.48
2009-04-22,4.48,4.32,4.56,4.31,590259.97
2009-04-23,4.28,4.31,4.35,4.25,335939.91
2009-04-24,4.34,4.29,4.36,4.28,250022.29
2009-04-27,4.28,4.08,4.3,4.05,417379.78
2009-04-29,4.12,4.19,4.19,4.1,282600.55
2009-04-30,4.21,4.18,4.23,4.15,411736.75
2009-05-04,4.21,4.4,4.42,4.2,587687.22
